base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	lemma
cselekszik	cselekszek	cselekszem	301	3938	-2.5682551455960363	szik	2	corpus	280658	8570080167	čeleksik
csellózik	csellózok	csellózom	17	39	-0.7985076962177716	zik	2	corpus	1782	8570080167	čellózik
csendesedik	csendesedek	csendesedem	12	2	1.466337068793427	NA	3	corpus	6494	8570080167	čendešedik
csigázik	csigázok	csigázom	48	44	0.08515780834030677	zik	2	corpus	4081	8570080167	čigázik
csimpaszkodik	csimpaszkodok	csimpaszkodom	23	64	-0.9963334395476916	NA	3	corpus	4352	8570080167	čimpaskodik
csinosodik	csinosodok	csinosodom	3	2	0.28768207245178085	NA	3	corpus	521	8570080167	činošodik
csintalankodik	csintalankodok	csintalankodom	4	3	0.22314355131420976	NA	4	corpus	492	8570080167	čintalankodik
csiszolódik	csiszolódok	csiszolódom	8	12	-0.3677247801253174	NA	3	corpus	6459	8570080167	čisolódik
csodálkozik	csodálkozok	csodálkozom	1955	17802	-2.2084654108101	zik	3	corpus	200735	8570080167	čodálkozik
csuklik	csuklok	csuklom	107	25	1.4240346891027378	lik	1	corpus	6520	8570080167	čuklik
csíszlik	csíszlok	csíszlom	20	9	0.7419373447293773	-lik	1	nonword	NA	NA	číslik
csókolózik	csókolózok	csókolózom	40	99	-0.8915981192837836	zik	3	corpus	18284	8570080167	čókolózik
csólorzik	csólorzok	csólorzom	10	19	-0.5978370007556204	-zik	2	nonword	NA	NA	čólorzik
csónakázik	csónakázok	csónakázom	13	2	1.540445040947149	zik	3	corpus	6485	8570080167	čónakázik
csúszik	csúszok	csúszom	1288	509	0.927211277220816	szik	1	corpus	191096	8570080167	čúsik
dacoskodik	dacoskodok	dacoskodom	5	6	-0.15415067982725836	NA	3	corpus	237	8570080167	dacoškodik
deformálódik	deformálódok	deformálódom	2	1	0.4054651081081644	NA	4	corpus	11452	8570080167	deformálódik
degradálódik	degradálódok	degradálódom	1	1	0	NA	4	corpus	3616	8570080167	degradálódik
deresedik	deresedek	deresedem	1	3	-0.6931471805599453	NA	3	corpus	388	8570080167	derešedik
diadalmaskodik	diadalmaskodok	diadalmaskodom	1	12	-1.8718021769015911	NA	5	corpus	35682	8570080167	diadalmaškodik
dicsekszik	dicsekszek	dicsekszem	41	1420	-3.521446509813732	szik	2	corpus	46395	8570080167	dičeksik
diétázik	diétázok	diétázom	496	1699	-1.2297935039476786	zik	3	corpus	18417	8570080167	diétázik
