lemma	predicted_p	base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	out	alpha	sigma
juslik	0.4740922301156693	juszlik	juszlok	juszlom	18	11	0.4595323293784402	-lik	1	nonword	NA	NA	0.6129032258064516	1	20
jüšlik	0.5251051020195872	jüslik	jüslök	jüslöm	20	7	0.965080896043587	-lik	1	nonword	NA	NA	0.7241379310344828	1	20
klaráglik	0.44576022962976675	klaráglik	klaráglok	klaráglom	20	7	0.965080896043587	-lik	2	nonword	NA	NA	0.7241379310344828	1	20
klibamlik	0.5363928102982126	klibamlik	klibamlok	klibamlom	16	10	0.4353180712578455	-lik	2	nonword	NA	NA	0.6071428571428572	1	20
klidlik	0.46777082967761424	klidlik	klidlok	klidlom	21	8	0.8938178760220965	-lik	1	nonword	NA	NA	0.7096774193548386	1	20
klivašlik	0.5922841577454077	klivaslik	klivaslok	klivaslom	19	7	0.9162907318741552	-lik	2	nonword	NA	NA	0.7142857142857143	1	20
klárzik	0.4272373334854402	klárzik	klárzok	klárzom	13	13	0	-zik	1	nonword	NA	NA	0.5	1	20
klétsik	0.4048969807782161	klétszik	klétszek	klétszem	11	15	-0.2876820724517809	-szik	1	nonword	NA	NA	0.4285714285714286	1	20
klörlik	0.4948661156376391	klörlik	klörlök	klörlöm	18	9	0.6418538861723947	-lik	1	nonword	NA	NA	0.6551724137931034	1	20
kumlik	0.5442804776011438	kumlik	kumlok	kumlom	25	4	1.6486586255873816	-lik	1	nonword	NA	NA	0.8387096774193549	1	20
lihadzik	0.4175636336123788	lihadzik	lihadzok	lihadzom	16	13	0.1941560144409574	-zik	2	nonword	NA	NA	0.5483870967741935	1	20
livaklik	0.4138150110261519	livaklik	livaklok	livaklom	7	20	-0.9650808960435872	-lik	2	nonword	NA	NA	0.2758620689655172	1	20
lorjódzik	0.41353994059456073	lorjódzik	lorjódzok	lorjódzom	13	16	-0.1941560144409575	-zik	2	nonword	NA	NA	0.45161290322580644	1	20
lörűdzik	0.37709027763711617	lörűdzik	lörűdzök	lörűdzöm	12	15	-0.2076393647782445	-zik	2	nonword	NA	NA	0.4482758620689655	1	20
marzik	0.4343961896326035	marzik	marzok	marzom	19	8	0.7985076962177716	-zik	1	nonword	NA	NA	0.6896551724137931	1	20
málapsik	0.39497428716225697	málapszik	málapszok	málapszom	13	14	-0.06899287148695143	-szik	2	nonword	NA	NA	0.48275862068965525	1	20
méksik	0.36471215367828824	mékszik	mékszek	mékszem	12	14	-0.1431008436406733	-szik	1	nonword	NA	NA	0.4642857142857143	1	20
narjárzik	0.47081716015593744	narjárzik	narjárzok	narjárzom	13	13	0	-zik	2	nonword	NA	NA	0.5	1	20
narádzik	0.3779211461083258	narádzik	narádzok	narádzom	9	18	-0.6418538861723948	-zik	2	nonword	NA	NA	0.3448275862068965	1	20
nűröklik	0.4300251512299529	nűröklik	nűröklök	nűröklöm	13	16	-0.1941560144409575	-lik	2	nonword	NA	NA	0.45161290322580644	1	20
pebzik	0.48190102737780005	pebzik	pebzek	pebzem	17	10	0.49247648509779424	-zik	1	nonword	NA	NA	0.6206896551724138	1	20
piragsik	0.45003777792878363	piragszik	piragszok	piragszom	9	17	-0.587786664902119	-szik	2	nonword	NA	NA	0.35714285714285715	1	20
pivegsik	0.4899814469091919	pivegszik	pivegszek	pivegszem	8	21	-0.8938178760220964	-szik	2	nonword	NA	NA	0.2903225806451613	1	20
plugzik	0.44459215553176057	plugzik	plugzok	plugzom	12	17	-0.325422400434628	-zik	1	nonword	NA	NA	0.41935483870967744	1	20
plágadzik	0.4461597467405256	plágadzik	plágadzok	plágadzom	10	16	-0.4353180712578455	-zik	2	nonword	NA	NA	0.39285714285714285	1	20
plövőrzik	0.4697052687091242	plövőrzik	plövőrzök	plövőrzöm	14	13	0.06899287148695142	-zik	2	nonword	NA	NA	0.5172413793103449	1	20
plűbzik	0.430056676638764	plűbzik	plűbzök	plűbzöm	17	10	0.49247648509779424	-zik	1	nonword	NA	NA	0.6206896551724138	1	20
pratáṉlik	0.4367286929636511	pratánylik	pratánylok	pratánylom	23	6	1.2321436812926323	-lik	2	nonword	NA	NA	0.7741935483870968	1	20
prašlik	0.4717252008998319	praslik	praslok	praslom	24	5	1.4271163556401458	-lik	1	nonword	NA	NA	0.8064516129032259	1	20
prezlik	0.4641203330956462	prezlik	prezlek	prezlem	19	7	0.9162907318741552	-lik	1	nonword	NA	NA	0.7142857142857143	1	20
pribagsik	0.3940323169604645	pribagszik	pribagszok	pribagszom	9	17	-0.587786664902119	-szik	2	nonword	NA	NA	0.35714285714285715	1	20
pribemlik	0.5389184569676028	pribemlik	pribemlek	pribemlem	26	3	1.9095425048844383	-lik	2	nonword	NA	NA	0.8709677419354839	1	20
priheksik	0.43116372182403634	prihekszik	prihekszek	prihekszem	13	16	-0.1941560144409575	-szik	2	nonword	NA	NA	0.45161290322580644	1	20
prilegzik	0.4866688477535022	prilegzik	prilegzek	prilegzem	11	16	-0.3483066942682157	-zik	2	nonword	NA	NA	0.4137931034482759	1	20
prohódzik	0.4549130031862523	prohódzik	prohódzok	prohódzom	7	22	-1.0560526742493137	-zik	2	nonword	NA	NA	0.25806451612903225	1	20
préleglik	0.49266647161946125	préleglik	préleglek	préleglem	18	9	0.6418538861723947	-lik	2	nonword	NA	NA	0.6551724137931034	1	20
príṉlik	0.49994413921502845	prínylik	prínylok	prínylom	17	9	0.5877866649021191	-lik	1	nonword	NA	NA	0.6428571428571428	1	20
prűrlik	0.4789736176121274	prűrlik	prűrlök	prűrlöm	19	7	0.9162907318741552	-lik	1	nonword	NA	NA	0.7142857142857143	1	20
pugošlik	0.5224499383832696	pugoslik	pugoslok	pugoslom	20	7	0.965080896043587	-lik	2	nonword	NA	NA	0.7241379310344828	1	20
pélešlik	0.5848628292166991	péleslik	péleslek	péleslem	20	9	0.7419373447293773	-lik	2	nonword	NA	NA	0.6774193548387096	1	20
píjlik	0.544188044722115	píjlik	píjlok	píjlom	18	9	0.6418538861723947	-lik	1	nonword	NA	NA	0.6551724137931034	1	20
pítsik	0.43302340051059107	pítszik	pítszok	pítszom	10	17	-0.49247648509779407	-szik	1	nonword	NA	NA	0.37931034482758624	1	20
ribegzik	0.43960580323364895	ribegzik	ribegzek	ribegzem	13	16	-0.1941560144409575	-zik	2	nonword	NA	NA	0.45161290322580644	1	20
ribzik	0.44791241000403526	ribzik	ribzok	ribzom	10	19	-0.5978370007556204	-zik	1	nonword	NA	NA	0.3548387096774193	1	20
roksik	0.3539797837899622	rokszik	rokszok	rokszom	11	16	-0.3483066942682157	-szik	1	nonword	NA	NA	0.4137931034482759	1	20
rušlik	0.5033222134880457	ruslik	ruslok	ruslom	21	8	0.8938178760220965	-lik	1	nonword	NA	NA	0.7096774193548386	1	20
